ID,rel_docs
0,2400779 309003 5198810 5076111 793372 584618 7454324 1389572 230441 1577365 5074053 8755388 343301 381378 1549243 7292468 420953 7273539 7476329 4608764 79592 2253872 6838179 1341402 5201363 4794963 4720407 4999701 9141561 6383214 78226
1,1467 1912987 2823294 701798 8195110 1091951 8672592 74742 484190 1450970 1824593 82192
2,11151 679078 4593828 8651884 4587872 6240522 7851016 4240916 5465721 206116 676774
3,94056 71 3059283 7761203 1003966 1407912 7711454 4708396 911092 1172450 7710155 487365 490831 1347882 139251 8837330 6557399 94057 148090 2076991 8658799 2461404 3592145 1565459 378159 7761102 4484058 95103 219530 167472 1569219 357425 1040163 1565711 7761133 873945
4,53287 4208252 6871800 5338149 794144 9055880 5120863 43504 2316591 57911 9069646 32621 782657 5353237 5319398 15833 5320215 8770783 5863064 2285348 99439 2285132 278296 2783989
5,6724 1603184 8587203 8590582 8599199 8599375 8599441 2416444 8596297 8599178 8599269 8595070 8590702 8599126 8599063 5209092 8594513 8591309 8593120 8601488 8591676 8589973 8833913 7333431 8652371 8101200 8205311 8034286
6,58479 7146909 5994457 5965152 225853 7632251 3505690 891309 1855105 881265 45607 1759843 9163847
7,229426 4617111 3242158 9025524 453252 6925010 2472950 1648989 2314029 5849920 933166 4252002 5117432 6296980 2313840 8938160 959076 8692597 3345659 7813295 6008593 4625419 4376389 5124329 3526743 4622274 4610569 4165175 1529476 1676968 8761527
8,316504 622298 4014515 2416027 6090287 772610 426815 6130602 119115 4326136 2653487 1501894 6259848 6130658 2607680 2762 1149207 5410402 6267899 6420947
9,5109097 221766 1586813 4520684 5119346 12413 5875203 7509597 8678745 882721 466260 9068476 4543742 21821 1772307 8915651 4616855 3601965 6090727 8769380 3205935 236585 695926 7587627
10,36637 36363 5394899 7620088 663022 8868339 5200542 6397677 7280787 8978643 4536641 6138717 2516855 160228 8974785 5409727 944946 8394836 1168403 6381738 7224066 9134455 8868351 4596929 7819436 7129285 6133065 5865650 4599033 869408 4645478 4596910 4645499 8995971 4582280 8989580 8968859 7393227 1021740 1442405
11,12520 503522 168133 23074 901887 2985250 197079 6819401 567150 5139978 7340460 8257268 683859 5353206 8575393 3562496 4120782 4632935 18354 6931855 2305905 40798 3125321 2141 7589392 34952 492 6504226 1737811
12,29657 4527987 210359 443392 5351820 6973940 7835403 5866506 6092621 4609977 5468608 8413566 7804257 4445929 3608186 4080162 8971745 4551151 6487854 686736 4586225 904971 4768675 4674100 3404317 4666681 4394065
13,20930 724762 7340437 4222101 832069
14,1133310 627346 701494 278520 481152 8480999 363422 8465727 1239409 3653186 2820500 8554067 6155457 5866266 6200853 306009
15,27964 8705822 5397174 8758899 7996839 8380140 8814068 1746192 1481280 3209482 7393035 5451191 3225511 4956314 3207795 2794029 7224513 3224970 7255847 36315 328474 32344 1192932 4890988 1231962 4685524 5864537 6372907 4490762 125264
16,71 7761203 1003966 1407912 7711454 4708396 911092 1172450 7710155 487365 490831 1347882 139251 8837330 6557399 94057 148090 2076991 8658799 2461404 3592145 1565459 378159 7761102 4484058 95103 219530 167472 1569219 357425 1040163 1565711 7761133 873945 56382 628053
17,18257 1868239 87550 1291001 8707428 8707431 8707437 6386549 8798697 8683731 6386174 6388967 8706494 8683717 8707443 1116485 203159 5135357 3229723 8410476 19152 5287966 5250334 5174459 5290737
18,29939 4393862 4394255 4393883 4394079 4394156 4497918 34636 323054 5078713 324565 5653865 1859222 4497839 7384950 4394295 8564054 326353 9061513 8564000 5915300 8700135 8906561 8844632 8844634 8844620 8844615 8844627 4080905 163293 8829690 8563952 5248654
19,5832 9056301 288072 4460642 1381841 4459741 8021237 396448 1188300 2620881 2664398 538415 938086 341756 1395832
20,34006 7998195 6946616 8577904 5698564 8577906 8578943 8578929 8577873 8577899 7237788 4868767 8577862 4827713 4851741 3171797 8577883 8711833 8577846 64114 5795523 8578918 2240113 4574210 8577901 8832150 8577890
21,194281 652117 1191196 3623078 359704 698355 6254978
22,7918 4260988 7323511 4921169 9085785 3550526 5446580 1784129 2800791 5686667 7158959 3819960 6523217
23,45355 5635352 4871408 7789256 478859 5428354 7870627 8474569 2351399 1583723 117789 508736 8474491 5968033 8594539 4202835 8905824 7914416 9219404 5883840 5887817 1889940 7941212 4923257 1112246 1179677 445566
24,34228 1249367 5662380 168594 4176585 4690632 5170256 2381442 582898 1700347 2164821 1146958 6733 4082528
25,13583 1853788 1853801 35101 1806519 6855539
26,35686 646620 5101903 7676868 5489347 6127775 4278357 4165341 4457359 11451 595450 6275847 8963617 1747881 5360439
27,75098 66591 75105 139956 3155626 7077038 1918428 813847 82042 5793983 138046 8813252 707273 20224 3189813 20228 8349760 4094 301872 10097 2429199 2429053 20227 1089774 664781 21452 20229 697220 6301682 1085922 5579539 967408 938179 19807 74483 1457829 8827988
28,33257 237957 2819945 8364658 4562810 1366834 1367894 7549574 1540529 1518198 4285171 9121251 5390310 9125177 7412082 367754 9121861
29,7223 2207308 2582726 8705058 1464715 3544959 30362 9238163 2785422 1464579 633240 425398 531228 4169616 4585428 1116378 5780619 1461317 973034 8544255 626414 551094 8058849
30,3414572 8585206 5409009 308068 207747 4729361 190600 32344 1599146 188811 4404011 4392111 8577904 1241607 4612156 8707443 3097682 4597700 395675 2922786 4537615 783912 1593682 364925 1133128 1012659 103079 8890826 2136468 337820 944527 6262110 642272 7681022
31,783712 4231417 4177965 3691134 3655135 4177975 3820466 3855823 955522 212369 5468647 451564 274232 8701572 9204767 292817 3648385
32,69883 3442563 8792264 36455 4168226 7357251 1917506 482601 6894787 5118593 40486 8392378 647507 4964505 7812722 5035887 8799371 3147688 1103754 5051368 5189863 8409195 8962870 4392839 6086398
33,74707 4548750 2193837 6262502 7887085 74705 4571881 3138439 6920777 5189863 8409195 3135065 3140651 2444168 1317295 175263 4289290 1456368 2538933 1885961 1498298 1498152 1497781 2514659 2516803 1970409 1330561 1498042 2487887 2515084 2499466 1494282 2521811 920290 4469322 2495287 175183 1304716 1304853 1442514 2537907
34,768531 4605072 4605828 8362937 688959 689804 4843809 1338647 7710767 7290472
35,57882 691358 1073796 107348 4891635 247057 4812193 7835943 2218825 4392376 672727 652151 777932 650119 2222029 2218554 3964746 600568 1541 2003973 1289114 13536 4193104 593258 1236987 2557005 4272945 840635 1828566
36,5341 7536975 3652845 8899705 4929794 764221
37,24964 5269732 2506433 4402938 5217300 182103 35438 756082 3032023 3255512 1243199 5281898 6204610 7996839 7223348 19689 7221993 5930922 2560951 4862408
38,8789 7675254 5977942 1456534 7302367 66560 37036 1879903 1359674 7673722 6608182 541962 358394 6128852 7255847 5461592 6039151 1273623 9251 5651448 4337498 5490866 4354291 8925950
39,395004 247738 6228926 2466738 7908543 38402 7230390 2164516 90596 253235 5589219 2068927 434002 1063096 4441724 7828903 7248042 32206 8989974 6849900 5769254 253159 2600839 1291322 6986837 4844219 7242909 4349880 3135702 8609946 168497
40,24967 5301861 5296400 5299075 5300303 7736495 5984536 35176 5215697 5082652 4931415 4798685 6166491 6851342 3965791 2307617 5931201 7222549 6202672 5391501 2549985 404379 7046528 19686 8537633 32227
41,809192 5439239 2399438 2325086 2919870 4376898 5027338 4683521 4286674 4679037 9084334 4026109 6822627 4239982 4691904 4437639 6838889
42,2100700 3456770 5475588 6127777 3660277 4264097 6110341 4771027 7570754 5416374 188385 1125121 5839255 1151050 4405041 4264439 784029 4263389 2995078 4097910 4264467 452334
43,43773 1540 3129748 9104848 9105296 8621583 7936031 6487051 2315672 720013 7970546 9105287 6345347 9104840 9104844 1500302 9104817 1307337 7970531 2048007 6345339 5995973 9104830 1775356 3357125 9233123 4567107 5803578 2759258 502071
44,16483 8430493 205533 5884953 1837090 1837098 1009871 1837093 1837102 1277248 2755659 1837092 2400722 21288 125202 5226526 3275350 2045342 901556 802893 6935099 1389615 3277383 3878392 5338401 8487181 2368703 200797 1341227 5912549 6839806 1713329 6868599 3594832 1051477 4859970 901504 696947 578888 1173164 183152
45,836384 1100820 8701633 7405485 5378630 4327143
46,168429 852180 187167 103380 103366 155325 133048 48248 10264 140476 245025 192723 10263 8773207 3316799 1167140 5113571 8690 315335 2624932 516052 34586 3589593 290567 4302410 6884629 681701 6276016 1564253 341345 1865543
47,263331 2816205 8669014 8659900 2333036 7159124 8782730 4856402 9123648 7436122 4856390 2819885 2442593 6600116 7391022 8143041 3228988 6217448 137245 3464796 5160374 1437050 947429 8687937 9154455 836384
48,4976 342559 910475 79061 6443331 1440190 190744 285117 5703872 217675 2610773 100325 1308945 6822394 5021980 154306 176159 145763 7149950 5657963 5353324 28915 171845 425548 116190 13768 5029614 4031102
49,271921 6145594 5948242 2819982 4123892 7457915 4172761 8658340 4099797 6315680
50,1180143 5165120 5392648 5580837 1235001 371894 2092904 7054182 5069853 1559129 701303 5385311 2130437 5955395 2749193 6565427 8565959 8882250 7733964
51,34574 4847637 248617 3917389 6392865 4202282 1107962 8413059 1381540 6603628 3691722 7053505 5847864 4690492 4535641 1313199 223393 2599800 4201165 4015415 2712759 5578189 4202457 1573061 2895020 3879788 650910 7029331 4630162 266443 11451 4565180 4222293 3857505 3879806 1169310 9202748 8423791 3879779 1533587
52,271 7603211 26601 7614820 4300277 448093 405504 366247 78626 261965 4682035 587555 36035 1276311 1361238 947433 335239 2224880 26997 574580 4271182 2022975 2901183 1065058 686122 1083345 610087 1508855 5028965 1003526 1324598 2722145 1326933 152446 148412 7856380 406223 8754754 215630 4744673 8740472 968935 783421 41108 787911 2159689 643106 1349324 8586491 262912 643100 426899
