ID,rel_docs
0,4266525 7276379 4730251 8204000 4200726 6908000 538945 2734503 843568 5911560 2594615 5157691 839304 5587754 2120230 6423305 7330911 7459758 770957 5483255 199485 4180875 4265029 2225668 4532 500041 5317768 7994718 7426234 8666283 4355757 161572 
1,810576 4724484 4710397 4699143 4601017 3639702 2506946 3585897 2404736 4686636 8760059 4347573 40837 674369 1468255 4203225 241700 5506088 4012203 1825303 73603 4707714 2471210 4162204 8643342 8780373 5699056 153141 1541730 6896548 2399130 2444115 
2,11148 5497612 5304176 5455678 505055 1905144 4204904 2941930 5641016 762470 5305287 925276 3103729 9119774 7710101 3575965 20444 939102 19926 20689 7795893 1547143 19702 276538 19837 8361842 19736 1827904 20192 19881 19719 3260554 
3,293726 5014152 950001 6420308 250311 756518 6423444 2087018 5521751 5509529 1799242 6985405 1466816 7834206 1175232 4669900 6016778 689832 6364493 2374205 1874645 6420803 745646 5798605 5092446 5302317 5322447 4859261 7460008 7768039 660147 5113506 
4,28365 119711 6215406 6268335 34076 1549477 93674 6987367 1768281 92084 5403541 57177 697149 186786 1761541 1080312 198252 3126716 35686 84838 1240988 7445310 3290681 93854 8285 135673 4994297 575248 5284423 823419 5052066 1767451 
5,9064126 8841441 5538699 9062893 6042113 6197365 2478834 8340987 8270591 8668087 2948863 8457215 173939 5016139 745055 8645450 36790 2746111 7946486 8376716 8399470 745061 137251 1488623 1947083 6470455 18397 6025287 6883604 434367 3464796 485817 
6,4962636 4294059 4079977 7566345 7563722 6329420 460580 6329378 1129155 3390713 980351 2023863 5896718 7636535 1391931 129448 1175350 5685456 3769762 4552979 9106341 1747552 123580 6146531 7947783 1108052 5901388 108469 5667160 751388 4080020 80220 
7,2426771 5181733 7515931 5329567 7162666 1290037 2635742 156072 8427500 94741 5525890 8064740 11412 2427064 1113580 8606195 6075250 3338021 8079207 8590673 8734871 6178159 7088747 2426913 7495227 8688176 7431001 34617 7411226 351971 8008401 4579493 
8,7750595 7750664 3567 1541321 6986302 70441 1625392 296153 492 4375297 1541327 26329 58255 7036478 2044284 59302 9041792 7918757 3345819 8488756 3502014 1651938 7420288 39332 39331 1273116 7760040 504432 986143 3383401 1388919 6001404 
9,84904 4708587 8861650 3567260 8876893 4411079 4657956 76298 134970 33669 35686 906313 4719152 4306458 184276 95954 119711 1517412 5294289 1812078 3069323 3606435 2049910 28365 84907 5445516 34076 1806422 7832847 93674 1768281 92084 
10,5382440 736388 698403 9034168 200582 6205 21551 7867399 701738 703624 2127461 4542514 959855 204748 655630 4964698 701218 200885 6992590 1857998 8676837 4478641 5928411 5950255 3322045 4118498 7372383 718051 3189751 6154671 496339 255922 
11,5446927 3339396 3363520 3365575 4500635 2330859 3250255 3556797 3365642 6530218 3562464 1987197 3365538 4798212 3575392 3364032 3471577 8971626 1382988 505263 3244787 993103 770686 87458 4729533 7387000 4660773 467790 8027826 1325205 7472736 6548166 
12,9061007 402048 2804676 5867495 7620136 5807463 168334 5670734 4120121 5508370 8252553 72533 230223 62774 8466561 1908856 6433925 5210613 7485504 777391 6208245 6617479 1238534 585658 8495837 1238632 5825475 1863470 5826186 1824445 7482579 649549 
13,17881 1434753 4234143 72315 699065 4910259 7599664 7223490 7916899 7996679 5247639 8577764 5802829 4923005 5984528 4863253 737592 1284714 7760611 8834548 6591386 8352879 11798 4565312 5247559 330105 320444 4612156 52636 5963209 260001 102318 
14,7287020 8700175 7383843 2022749 5916660 362494 8829714 8424005 1804156 9045153 353019 7975453 34635 796929 6866692 4878475 4264262 5112653 5000829 6397693 2377546 6299980 922584 7779472 433142 2248608 2003624 6465590 6973561 5253922 1380355 9144478 
15,2656 1314720 8632676 1210151 1621135 4299083 4671484 6834537 5263012 1382186 480031 1346566 2250711 2470768 1339285 5698361 683021 5184247 1333248 3617666 1438413 1392349 7832153 5253889 1248626 37026 2558863 318304 2465030 4103102 690140 5360327 
16,8094356 8690891 5532 3654572 7320466 7320436 1004337 8064672 3928856 8331681 132606 9178487 7709657 3232810 732909 3650561 4661799 338183 8143041 8137253 7316758 3109237 4202837 4135350 7290490 4492281 6119172 41445 37201 68310 198616 6520182 
17,7331584 7331597 5963323 5964783 919430 3522251 20919 1178147 1334519 993661 4115937 412384 2785762 6913490 6913355 6906924 461889 4364675 5645601 2459909 637503 472869 7668196 1427900 7647109 7645516 4990934 8769547 8122477 500601 3427215 641240 
18,6678 300873 61418 6073501 2250507 2266979 2240021 3000603 8569548 473536 1792711 728572 4873449 352630 8533362 8312468 6962296 4749090 4286326 7282466 1792733 534 1201128 6686 1024362 2446866 521032 6889280 4954531 1181745 8584257 255350 
19,2427596 5443577 2427560 7418349 8693520 2427621 4641235 5322145 9108715 7140807 2427591 6121941 5287621 588166 408893 2426913 6163685 7695331 8667210 34498 8492752 2429229 8491066 5287683 1302488 2425204 796857 7294686 8966619 7211726 2369798 1348208 
20,1991243 1826341 685607 8143084 3803727 320343 8951863 8039486 7535138 7211978 4698896 7296846 34689 3807093 1991250 32078 4859057 32910 8142963 8143243 8396119 8143274 3803561 4120625 692058 7993049 2478165 32912 2325767 7402081 7326688 3153558 
21,120558 5585483 295551 2581305 642215 1130205 4305316 9196514 8064662 4685910 8692124 2793091 8454265 406212 4191221 3232258 6819713 1768109 127405 5673857 23069 5021269 1144172 1778998 860678 5660779 158205 1781758 5868832 2888903 6382078 1100631 
22,3682296 7203634 4988222 9057505 1046149 1981373 107006 1400684 1378510 3725944 7227122 5370411 5370421 762216 4988227 380048 7271673 8617085 6309906 8661987 6824582 436467 231252 178811 215112 6196480 7965251 3109098 5080972 924756 70945 4489902 
23,213359 5338150 4743660 4403849 527418 416902 347297 4392519 2597626 145036 3654028 134246 56070 2143666 1564813 1560714 36903 5012035 5969817 5006943 4079763 2588503 5968923 4378020 85333 919550 170848 4467046 82781 188080 145041 6828925 
24,5059 5524184 6336081 226305 1297102 2174922 5533078 2475991 218592 13039 5699684 8860499 6132494 8969367 2066688 1547277 7676781 2476035 2175253 4721323 5703 8682998 8364047 198669 1027022 228176 8752191 4717883 7713025 9177941 217771 4598272 
25,416902 4392519 347297 145036 82781 56070 213359 2143666 2597626 4467046 3654028 134246 1564813 1560714 36903 5012035 5969817 5006943 4079763 2588503 5968923 4378020 85333 919550 170848 267785 188080 145041 6828925 8774591 108227 4082038 
26,19000 1465264 1794264 2437257 7215110 5640424 8828597 7514344 2437340 42743 681373 5150570 2437395 615010 5645709 8827988 1054538 2647706 5841964 141125 20620 8417510 1769306 1812083 1357310 5645427 1789735 172363 745582 868165 333133 4858004 
27,6372310 36178 853024 5021311 554560 6011426 1392741 788832 2483469 6372937 6941558 537596 509630 7479739 6248383 1991939 4678272 6510583 6823994 3632899 5516431 6011620 7028715 5793767 7803200 2946089 6490447 615995 7978915 3279632 5068155 8523726 
28,36203 6521887 6520904 60859 825205 2948913 8538205 8535307 8538353 8536816 8534426 8535121 8538279 8538267 8537388 8535299 8536853 8533401 8535975 8535296 8537469 8533511 8538210 8533802 8534372 8538217 8535111 8534419 8533577 8535249 8535248 8534437 
29,36185 6466099 801728 8519775 8519845 380480 8519725 8519774 8519820 8519905 8519828 8518135 6492941 8518256 8518237 8519696 8519794 8519879 76537 8519868 5021311 8518257 8518242 8519887 8519692 8519714 8521800 8521811 8519793 8518128 790420 8519685 
30,1678613 457014 3988762 134578 7457937 212646 4344123 1758884 418003 6631167 5641544 4519507 7637298 8051424 7904422 8494251 5849174 81727 4387561 15554 4373144 8561461 7990185 8321739 5199969 4033619 8890680 6267391 324954 4839906 8662725 24952 
31,31125 8747744 2449066 403129 3586230 4765460 1736888 138121 2122187 6256046 4664177 465550 92170 2134614 2462831 1995305 3608018 3263231 1240009 41833 4545427 5323054 5934723 2994874 5349980 31127 3104322 1479337 5214901 9097145 301881 4424391 
